,Video ID,Video Title,Channel Title,Transcript,Duration,Words per Second,Number of Comments,Top10 Comments,Category,Views,Likes,Custom Query,LLM Summary,low ssc characteristics st,high ssc characteristics st,low ssc defined st,high ssc defined st,low ssc characteristics,high ssc characteristics,low ssc defined,high ssc defined,Low SSC Char. Enjoym.,Low SSC Char. Appr.,High SSC Char. Enjoym.,High SSC Char. Appr.,Low SSC Def. Enjoym.,Low SSC Def. Appr.,High SSC Def. Enjoym.,High SSC Def. Appr.
17,,,,,121.78,1.905074724913779,5568,,,6829482,635752,,,,,,,,,,,4,2,3,3,4,2,3,3
18,,,,,78.33200000000001,1.3787468722871876,1859,,,7783585,469302,,,,,,,,,,,4,3,3,2,4,1,3,3
19,,,,,40.231,1.118540429022396,215,,,297162,8857,,,,,,,,,,,4,3,3,4,4,2,3,4
20,,,,,118.0,1.7627118644067796,3012,,,5015233,242515,,,,,,,,,,,3,2,2,3,4,2,3,3
21,,,,,491.557,1.080240948659057,252,,,317818,9381,,,,,,,,,,,4,2,3,3,4,2,3,3
22,,,,,45.676,1.444960154129083,2173,,,12716151,665868,,,,,,,,,,,3,2,2,1,4,1,2,1
23,,,,,106.358,1.335113484646195,140,,,43534,799,,,,,,,,,,,2,3,3,3,2,2,3,3
24,,,,,10.531,1.0445351818440791,329,,,5826187,133154,,,,,,,,,,,2,4,3,5,2,5,2,5
25,,,,,16.8,1.1904761904761905,1,,,902,15,,,,,,,,,,,2,1,1,3,3,1,2,2
26,,,,,116.72100000000002,1.6620830870194736,1365,,,1965356,99515,,,,,,,,,,,4,3,3,4,2,3,4,4
27,,,,,87.941,0.9892996440795532,58,,,169323,7403,,,,,,,,,,,4,3,3,3,4,2,3,3
28,,,,,3.0,1.0,742,,,13311140,266977,,,,,,,,,,,2,1,1,2,3,1,1,2
29,,,,,13.598,0.4412413590233858,8854,,,50352006,1267402,,,,,,,,,,,4,5,3,5,4,5,3,5
30,,,,,67.19999999999999,1.3839285714285716,6,,,6200,264,,,,,,,,,,,2,1,1,2,3,1,2,2
31,,,,,18.802,1.3828316136581216,1145,,,1226963,62609,,,,,,,,,,,3,2,2,3,4,1,3,3
32,,,,,23.86,1.2992455993294216,0,,,1032,2,,,,,,,,,,,2,1,1,2,3,1,1,1
33,,,,,81.119,1.3683600636102515,744,,,1174691,56283,,,,,,,,,,,4,3,3,4,4,2,3,4
34,,,,,28.539000000000005,1.9622271277900407,1,,,6427,120,,,,,,,,,,,2,1,1,2,3,1,1,2
35,,,,,103.12,1.5031031807602793,665,,,1073969,67344,,,,,,,,,,,4,3,3,2,4,1,3,3
36,,,,,99.118,1.523436711798059,16,,,43170,1390,,,,,,,,,,,4,3,3,2,4,1,3,3
37,,,,,32.300000000000004,1.4860681114551082,42,,,459594,10345,,,,,,,,,,,4,3,3,2,4,1,3,2
38,,,,,103.497,1.4976279505686154,284,,,553820,34786,,,,,,,,,,,4,3,3,4,4,2,3,4
39,,,,,88.68,1.8944519621109608,3249,,,20871647,1140990,,,,,,,,,,,4,2,3,3,4,2,3,3
40,,,,,108.92,1.9280205655527,9196,,,18467490,1425397,,,,,,,,,,,3,2,4,4,2,2,4,4
41,,,,,57.302,1.5008202156992776,2769,,,4140298,343985,,,,,,,,,,,3,4,2,5,4,3,3,5
42,,,,,103.941,1.4527472316025438,5743,,,893612,42685,,,,,,,,,,,3,2,2,3,4,1,3,3
43,,,,,114.52,1.4407963674467343,820,,,892281,48226,,,,,,,,,,,4,2,3,3,4,2,3,3
44,,,,,76.16000000000001,1.5099789915966384,317,,,354724,48270,,,,,,,,,,,4,5,3,5,4,2,3,5
45,,,,,5.279,1.3260087137715475,0,,,2721,69,,,,,,,,,,,3,4,4,5,3,3,4,5
46,,,,,33.038000000000004,1.4528724499061685,2102,,,7081767,398555,,,,,,,,,,,3,2,2,1,4,2,3,2
47,,,,,28.249,0.2477963821728202,28922,,,324810367,7865347,,,,,,,,,,,3,2,2,3,4,2,3,4
48,,,,,87.981,1.2275377638353735,4,,,9409,246,,,,,,,,,,,4,3,3,4,4,2,3,4
49,,,,,92.24000000000002,1.9297484822202944,3815,,,4003989,0,,,,,,,,,,,3,4,3,5,4,2,3,4
50,,,,,26.991,0.2593457078285354,136,,,14325574,0,,,,,,,,,,,4,3,3,4,4,2,3,4
51,,,,,48.18,0.12453300124533,2484,,,43853662,524257,,,,,,,,,,,4,3,3,4,4,2,3,4
52,,,,,31.642000000000003,0.5688641678781367,5730,,,7271239,232636,,,,,,,,,,,3,2,2,3,4,2,3,3
53,,,,,51.22,1.5618898867629831,347,,,570899,56706,,,,,,,,,,,4,2,3,3,4,2,3,3
54,,,,,118.64,1.5256237356709377,1984,,,5930957,240257,,,,,,,,,,,4,5,3,5,4,4,3,5
55,,,,,87.86,1.331664010926474,1244,,,1765508,66621,,,,,,,,,,,4,2,3,3,4,2,3,3
56,,,,,94.17900000000002,1.6670382994085728,3820,,,24175272,1366899,,,,,,,,,,,4,3,2,2,4,1,3,3
57,,,,,64.423,0.962389208822936,1,,,3861,73,,,,,,,,,,,4,3,3,4,4,2,3,4
58,,,,,21.640000000000004,0.9704251386321624,9,,,4314,114,,,,,,,,,,,2,1,1,2,3,1,1,1
59,,,,,116.719,1.6364088109048227,1,,,10,2,,,,,,,,,,,4,3,3,4,4,2,3,4
60,,,,,40.718,1.5226681074708974,2942,,,22190441,1071222,,,,,,,,,,,4,3,3,3,4,2,3,3
61,,,,,111.95900000000002,2.054323457694334,1373,,,1690239,83206,,,,,,,,,,,3,2,2,3,4,2,3,3
62,,,,,103.87700000000002,1.7809524726359056,7360,,,16592828,810000,,,,,,,,,,,4,5,3,5,4,3,3,5
63,,,,,43.6,0.963302752293578,1,,,777,23,,,,,,,,,,,3,2,2,3,4,1,3,3
64,,,,,67.69,0.812527699807948,4032,,,135332228,3126652,,,,,,,,,,,3,5,4,5,2,5,4,5
65,,,,,78.63900000000001,1.5005277279721256,20239,,,20426170,1285738,,,,,,,,,,,3,2,1,1,4,2,2,1
66,,,,,70.576,1.4452505100884154,6621,,,1497579,91393,,,,,,,,,,,4,3,3,3,4,2,3,3
67,,,,,100.399,1.5239195609518026,6217,,,30271897,1909957,,,,,,,,,,,4,3,3,4,4,2,3,4
68,,,,,80.04100000000001,1.2493597031521344,353,,,409892,19514,,,,,,,,,,,4,3,2,3,3,2,2,3
69,,,,,81.921,1.5258602800258785,1,,,2649,99,,,,,,,,,,,2,1,1,2,3,1,1,2
70,,,,,19.019,1.4722119985277882,4675,,,7222817,348521,,,,,,,,,,,3,4,2,3,4,2,3,4
71,,,,,66.9,1.3153961136023915,10082,,,8620555,283897,,,,,,,,,,,4,3,3,4,4,2,3,4
72,,,,,1460.4620000000002,1.1818178083373616,5306,,,3738422,123299,,,,,,,,,,,4,2,3,3,4,2,3,3
73,,,,,68.798,1.526207157184802,2736,,,16097254,864040,,,,,,,,,,,4,3,3,4,4,3,3,4
74,,,,,105.28000000000002,1.4722644376899694,2499,,,23978767,1860271,,,,,,,,,,,4,3,3,4,4,2,3,4
75,,,,,78.481,1.669193817611906,1,,,1502,57,,,,,,,,,,,3,4,2,3,4,2,3,4
76,,,,,82.33800000000001,1.9553547572202383,1,,,55,8,,,,,,,,,,,4,3,3,4,4,2,3,4
77,,,,,43.678,1.4652685562525758,9319,,,35842446,812980,,,,,,,,,,,4,5,3,5,4,3,3,5
78,,,,,105.1,1.7982873453853474,7354,,,2668429,269410,,,,,,,,,,,4,3,3,4,4,2,3,4
79,,,,,37.6,1.2765957446808514,236,,,779073,39890,,,,,,,,,,,4,2,3,3,4,2,3,3
80,,,,,107.241,1.5292658591396946,0,,,1144,30,,,,,,,,,,,3,5,4,5,2,4,4,5
81,,,,,36.24,0.9657836644591612,5153,,,15110838,0,,,,,,,,,,,4,3,3,4,5,2,3,4
82,,,,,107.58800000000002,1.4313863999702563,2760,,,61057541,1339113,,,,,,,,,,,4,5,3,5,4,4,3,5
83,,,,,104.73,1.4227060059199848,1859,,,2898255,127733,,,,,,,,,,,3,2,2,3,4,1,3,3
84,,,,,97.41,0.6159531875577456,0,,,26367,377,,,,,,,,,,,4,2,3,3,4,2,3,2
